Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;14;1389;6243;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;15;1402;5205;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;16;1384;5385;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;17;1374;5557;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;18;1376;5729;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;19;1385;5906;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;20;1376;6082;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;1;694;5270;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;2;680;5358;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;3;665;5446;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;4;661;5534;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;5;701;5622;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;6;1364;5799;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;7;1367;5975;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;8;1352;6151;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;9;1393;5275;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;10;1369;5452;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;11;1362;5628;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;12;1372;5804;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;13;1362;5980;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;14;1377;6156;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;15;1420;6332;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;16;1391;5341;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;17;1369;5513;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;18;1363;5689;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;19;1361;5866;2359;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;20;1334;6042;2359;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;1;91;5182;2381;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;2;153;5211;2384;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;3;188;5241;2387;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;4;222;5278;2391;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;5;263;5320;2394;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;6;291;5367;2400;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;7;337;5434;2407;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;8;368;5501;2417;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;9;409;5572;2423;100
